id,dan_toc,ten_khac,le_hoi,thoi_gian,dia_ban,y_nghia,noi_cu_tru,nhom_ngon_ngu,tin_nguong,bai_nguon,nguon,ghi_chu
dantoc-080,Khơ Mú,,lễ cúng ma nhà,trong các dịp tết và khi con cháu trong nhà đau ốm,,,"Các tỉnh Yên Bái, Sơn La, Lai Châu, Nghệ An","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng năm loại ma quan trọng nhất: ma trời, ma đất, ma thuồng luồng, ma tổ tiên và ma nhà; ngoài ra còn có lễ cúng mường, lễ cúng bản, lễ cúng ma nhà và tục thờ ma dòng họ.",dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5,"Nhật Nguyệt, rút từ bài dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5",
dantoc-081,Khơ Mú,,lễ cúng mường,,,,"Các tỉnh Yên Bái, Sơn La, Lai Châu, Nghệ An","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng năm loại ma quan trọng nhất: ma trời, ma đất, ma thuồng luồng, ma tổ tiên và ma nhà; ngoài ra còn có lễ cúng mường, lễ cúng bản, lễ cúng ma nhà và tục thờ ma dòng họ.",dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5,"Nhật Nguyệt, rút từ bài dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5",
dantoc-082,Khơ Mú,,tết Nguyên đán,,,,"Các tỉnh Yên Bái, Sơn La, Lai Châu, Nghệ An","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng năm loại ma quan trọng nhất: ma trời, ma đất, ma thuồng luồng, ma tổ tiên và ma nhà; ngoài ra còn có lễ cúng mường, lễ cúng bản, lễ cúng ma nhà và tục thờ ma dòng họ.",dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5,"Nhật Nguyệt, rút từ bài dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5",
dantoc-083,Khơ Mú,,tết cơm mới,sau vụ gặt tháng 10 âm lịch,,là dịp vui của cả bản sau một thời gian lao động mệt nhọc,"Các tỉnh Yên Bái, Sơn La, Lai Châu, Nghệ An","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng năm loại ma quan trọng nhất: ma trời, ma đất, ma thuồng luồng, ma tổ tiên và ma nhà; ngoài ra còn có lễ cúng mường, lễ cúng bản, lễ cúng ma nhà và tục thờ ma dòng họ.",dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5,"Nhật Nguyệt, rút từ bài dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5",
dantoc-084,Kinh (Việt),,Lễ Hạ điền,Mùa vụ,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-085,Kinh (Việt),,Lễ Thượng điền,Mùa vụ,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-086,Kinh (Việt),,Lễ cơm mới,Sau mùa gặt,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-087,Kinh (Việt),,Rằm tháng Bảy (Trung nguyên),Tháng Bảy,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-088,Kinh (Việt),,Rằm tháng Giêng,Tháng Giêng,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-089,Kinh (Việt),,Tết Nguyên đán,Đầu năm,,Tết lớn nhất trong một năm,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-090,Kinh (Việt),,Tết Thanh minh,Tiết Thanh minh,,"Có tục tảo mộ, cúng lễ","sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-091,Kinh (Việt),,Tết Trung thu,Rằm tháng Tám,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-092,Kinh (Việt),,Tết Đoan Ngọ,Tháng Năm,,,"sống ở khắp các tỉnh, thành trong cả nước, tập trung đông nhất ở các vùng đồng bằng và đô thị","nhóm ngôn ngữ Việt Mường, thuộc ngữ hệ Nam Á",Thờ cúng tổ tiên là tín ngưỡng quan trọng nhất của người Việt,dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6,"Nhật Nguyệt, rút từ bài dan-toc-kinh-viet-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-bfeee6",
dantoc-093,La Chí,,Tết Nguyên đán,,,,"Hà Giang và Lào Cai, tập trung ở các huyện Hoàng Su Phì và Xín Mần thuộc tỉnh Hà Giang","nhóm ngôn ngữ Ka Đai, trong ngữ hệ Thái, Ka Đai",Cúng tổ tiên vào các dịp lễ Tết; tổ tiên được cúng ba đời đối với nam và hai đời đối với nữ,dan-toc-la-chi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ac7b9c,"Nhật Nguyệt, rút từ bài dan-toc-la-chi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ac7b9c",
dantoc-094,La Chí,,Tết tháng tám,,,,"Hà Giang và Lào Cai, tập trung ở các huyện Hoàng Su Phì và Xín Mần thuộc tỉnh Hà Giang","nhóm ngôn ngữ Ka Đai, trong ngữ hệ Thái, Ka Đai",Cúng tổ tiên vào các dịp lễ Tết; tổ tiên được cúng ba đời đối với nam và hai đời đối với nữ,dan-toc-la-chi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ac7b9c,"Nhật Nguyệt, rút từ bài dan-toc-la-chi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ac7b9c",
dantoc-095,La Ha,,,,,,"Yên Bái, Sơn La","Nhóm ngôn ngữ Ka Đai, ngữ hệ Thái - Ka Đai",Thờ tổ tiên trong gian nhà gọi là hóng; thờ thần dương vật (linga) và thần cung kiếm,dan-toc-la-ha-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-42e339,"Nhật Nguyệt, rút từ bài dan-toc-la-ha-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-42e339","bài không nhắc tên lễ hội nào, dòng này chỉ mang phần chung của dân tộc"
dantoc-096,La Hủ,,tết cơm mới,đầu tháng 10 hoặc tháng 11,,cầu mong cây cỏ tốt quanh năm,"huyện Mường Tè, tỉnh Lai Châu","nhóm ngôn ngữ Tạng - Miến, thuộc ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất vào các dịp cơm mới, tết tháng bảy, khi gieo xong lúa nương, khi cưới xin và khi ma chay; không có tục cúng vào ngày giỗ riêng",dan-toc-la-hu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4302b5,"Nhật Nguyệt, rút từ bài dan-toc-la-hu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4302b5",
dantoc-097,La Hủ,,tết tháng bảy,,,thờ cúng tổ tiên,"huyện Mường Tè, tỉnh Lai Châu","nhóm ngôn ngữ Tạng - Miến, thuộc ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất vào các dịp cơm mới, tết tháng bảy, khi gieo xong lúa nương, khi cưới xin và khi ma chay; không có tục cúng vào ngày giỗ riêng",dan-toc-la-hu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4302b5,"Nhật Nguyệt, rút từ bài dan-toc-la-hu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4302b5",
dantoc-098,Lào,,Bun Pi May,tháng 4 âm lịch hằng năm,,Lễ lớn nhất trong năm,"các huyện Điện Biên, Phong Thổ (Lai Châu) và Sông Mã (Sơn La)","nhóm ngôn ngữ Tày - Thái, ngữ hệ Thái - Ka Đai","Mỗi gia đình đều có nơi thờ tổ tiên; mỗi bản có một ông thầy cúng gọi là món chuyên cúng khi có người đau ốm; Phật giáo từng ảnh hưởng sâu sắc nhưng nay không còn tập quán theo Phật giáo, chỉ còn dấu vết trong di tích kiến trúc",dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58,"Nhật Nguyệt, rút từ bài dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58",
dantoc-099,Lào,,Xo Nặm Phôn,,,lễ cầu mưa,"các huyện Điện Biên, Phong Thổ (Lai Châu) và Sông Mã (Sơn La)","nhóm ngôn ngữ Tày - Thái, ngữ hệ Thái - Ka Đai","Mỗi gia đình đều có nơi thờ tổ tiên; mỗi bản có một ông thầy cúng gọi là món chuyên cúng khi có người đau ốm; Phật giáo từng ảnh hưởng sâu sắc nhưng nay không còn tập quán theo Phật giáo, chỉ còn dấu vết trong di tích kiến trúc",dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58,"Nhật Nguyệt, rút từ bài dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58",
dantoc-100,Lào,,dâng lễ lên tháp,ngày rằm và ngày ba mươi hằng tháng,,"dâng lễ theo nghi thức Phật giáo, lễ vật chỉ có hoa quả","các huyện Điện Biên, Phong Thổ (Lai Châu) và Sông Mã (Sơn La)","nhóm ngôn ngữ Tày - Thái, ngữ hệ Thái - Ka Đai","Mỗi gia đình đều có nơi thờ tổ tiên; mỗi bản có một ông thầy cúng gọi là món chuyên cúng khi có người đau ốm; Phật giáo từng ảnh hưởng sâu sắc nhưng nay không còn tập quán theo Phật giáo, chỉ còn dấu vết trong di tích kiến trúc",dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58,"Nhật Nguyệt, rút từ bài dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58",
dantoc-101,Lào,,tục ăn cơm mới,,,,"các huyện Điện Biên, Phong Thổ (Lai Châu) và Sông Mã (Sơn La)","nhóm ngôn ngữ Tày - Thái, ngữ hệ Thái - Ka Đai","Mỗi gia đình đều có nơi thờ tổ tiên; mỗi bản có một ông thầy cúng gọi là món chuyên cúng khi có người đau ốm; Phật giáo từng ảnh hưởng sâu sắc nhưng nay không còn tập quán theo Phật giáo, chỉ còn dấu vết trong di tích kiến trúc",dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58,"Nhật Nguyệt, rút từ bài dan-toc-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d1bf58",
dantoc-102,Lô Lô,,Cơm mới,,,,"Đồng Văn, Mèo Vạc (Hà Giang); Bảo Lạc (Cao Bằng); Mường Khương (Lào Cai)","Nhóm ngôn ngữ Tạng-Miến (ngữ hệ Hán-Tạng), gần với Miến hơn","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất; trên bàn thờ có bài vị hình nhân bằng gỗ vẽ mặt bằng than đen",dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d,"Nhật Nguyệt, rút từ bài dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d",
dantoc-103,Lô Lô,,Rằm tháng Bảy,,,,"Đồng Văn, Mèo Vạc (Hà Giang); Bảo Lạc (Cao Bằng); Mường Khương (Lào Cai)","Nhóm ngôn ngữ Tạng-Miến (ngữ hệ Hán-Tạng), gần với Miến hơn","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất; trên bàn thờ có bài vị hình nhân bằng gỗ vẽ mặt bằng than đen",dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d,"Nhật Nguyệt, rút từ bài dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d",
dantoc-104,Lô Lô,,Tết Nguyên đán,,,,"Đồng Văn, Mèo Vạc (Hà Giang); Bảo Lạc (Cao Bằng); Mường Khương (Lào Cai)","Nhóm ngôn ngữ Tạng-Miến (ngữ hệ Hán-Tạng), gần với Miến hơn","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất; trên bàn thờ có bài vị hình nhân bằng gỗ vẽ mặt bằng than đen",dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d,"Nhật Nguyệt, rút từ bài dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d",
dantoc-105,Lô Lô,,Tết Đoan ngọ,,,,"Đồng Văn, Mèo Vạc (Hà Giang); Bảo Lạc (Cao Bằng); Mường Khương (Lào Cai)","Nhóm ngôn ngữ Tạng-Miến (ngữ hệ Hán-Tạng), gần với Miến hơn","Thờ cúng tổ tiên, bố mẹ và những người thân đã mất; trên bàn thờ có bài vị hình nhân bằng gỗ vẽ mặt bằng than đen",dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d,"Nhật Nguyệt, rút từ bài dan-toc-lo-lo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e8625d",
dantoc-106,Lự,,Cúng bản (căm bản),Tháng giêng lịch Lự,"Đầu bản, cạnh sông suối",,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-107,Lự,,Cúng rừng thiêng (đóng căm),Tháng 3 mồng 3,Khu rừng thiêng,,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-108,Lự,,Cúng tháng 6 mồng 6,Tháng 6 mồng 6,,,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-109,Lự,,Thờ cúng tổ tiên,"Tháng giêng lịch Lự, tương đương tháng 10 âm lịch",Gian hóng trong nhà,,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-110,Lự,,bun bẳng phay,Tháng 2 và tháng 3 theo âm lịch Lự,,Lễ thả ống pháo sáng,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-111,Lự,,bun huất nặm,Tháng 11 và tháng 12,,Lễ té nước,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-112,Lự,,bun pi mày,Tháng giêng,,Lễ mừng năm mới,"Lai Châu, các huyện Phong Thổ, Sìn Hồ và Điện Biên","Tày - Thái, ngữ hệ Thái - Ka Đai","Thờ cúng tổ tiên, cúng bản, cúng rừng thiêng, các nghi lễ bun mang ảnh hưởng Phật giáo",dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab,"Nhật Nguyệt, rút từ bài dan-toc-lu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-721aab",
dantoc-113,Mnông,,Lễ hội đâm trâu,kết thúc mùa thu hoạch lúa hàng năm,,"tạ ơn trời đất và thần lúa, chuẩn bị cho một mùa vụ mới","miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-114,Mnông,,Sa ur,,,lễ chạm ngõ,"miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-115,Mnông,,Tám nsông,,,lễ thành hôn,"miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-116,Mnông,,Tâm ốp,,,lễ ăn hỏi,"miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-117,Mnông,,lễ khánh thành vào nhà mới,,,đánh dấu ngôi nhà từ công trình xây dựng thành nơi cư trú đã được cộng đồng và thần linh chứng nhận,"miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-118,Mnông,,tết ăn mừng cơm mới,kết thúc mùa thu hoạch lúa hàng năm,,"ăn mừng cơm mới, tạ ơn trời đất và thần lúa","miền trung Tây Nguyên nước ta, chủ yếu ở các huyện Lắk, M'Đrắk, Đắk Nông, Đắk Mil, Krông Pách, Ea Súp, Buôn Đôn thuộc tỉnh Đắk Lắk; một bộ phận ở phía bắc tỉnh Sông Bé (nay thuộc địa bàn Bình Phước và vùng lân cận) và tây nam tỉnh Lâm Đồng; về phía tây vươn tới miền đông Campuchia","Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, thần lúa, trời đất; tang ma thổ táng, chia tài sản cho người chết để mang về thế giới Phan",dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b,"Nhật Nguyệt, rút từ bài dan-toc-mnong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1b3f0b",
dantoc-119,Mông,"Mèo, H'Mông",Tết 5 tháng 5 âm lịch,5 tháng 5 âm lịch,,,"Hà Giang, Yên Bái, Lào Cai, Lai Châu, Sơn La, Cao Bằng, Lạng Sơn, Nghệ An, Thanh Hóa, Hòa Bình, Bắc Thái",ngữ hệ Mông - Dao,"thờ cúng tổ tiên, ma nhà, ma cửa, ma bếp và thờ chung thổ thần của bản",dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7,"Nhật Nguyệt, rút từ bài dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7",
dantoc-120,Mông,"Mèo, H'Mông",Tết năm mới,đầu tháng 12 âm lịch,,,"Hà Giang, Yên Bái, Lào Cai, Lai Châu, Sơn La, Cao Bằng, Lạng Sơn, Nghệ An, Thanh Hóa, Hòa Bình, Bắc Thái",ngữ hệ Mông - Dao,"thờ cúng tổ tiên, ma nhà, ma cửa, ma bếp và thờ chung thổ thần của bản",dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7,"Nhật Nguyệt, rút từ bài dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7",
