id,can_chi_ngay,chi_ngay,chi_gio,khung_gio,hoang_dao,nguon,ghi_chu
Bính Ngọ-Mão,Bính Ngọ,Ngọ,Mão,5h-7h,co,tinh-toan,
Bính Ngọ-Thìn,Bính Ngọ,Ngọ,Thìn,7h-9h,khong,tinh-toan,
Bính Ngọ-Tỵ,Bính Ngọ,Ngọ,Tỵ,9h-11h,khong,tinh-toan,
Bính Ngọ-Ngọ,Bính Ngọ,Ngọ,Ngọ,11h-13h,co,tinh-toan,
Bính Ngọ-Mùi,Bính Ngọ,Ngọ,Mùi,13h-15h,khong,tinh-toan,
Bính Ngọ-Thân,Bính Ngọ,Ngọ,Thân,15h-17h,co,tinh-toan,
Bính Ngọ-Dậu,Bính Ngọ,Ngọ,Dậu,17h-19h,co,tinh-toan,
Bính Ngọ-Tuất,Bính Ngọ,Ngọ,Tuất,19h-21h,khong,tinh-toan,
Bính Ngọ-Hợi,Bính Ngọ,Ngọ,Hợi,21h-23h,khong,tinh-toan,
Đinh Mùi-Tý,Đinh Mùi,Mùi,Tý,23h-1h,khong,tinh-toan,
Đinh Mùi-Sửu,Đinh Mùi,Mùi,Sửu,1h-3h,khong,tinh-toan,
Đinh Mùi-Dần,Đinh Mùi,Mùi,Dần,3h-5h,co,tinh-toan,
Đinh Mùi-Mão,Đinh Mùi,Mùi,Mão,5h-7h,co,tinh-toan,
Đinh Mùi-Thìn,Đinh Mùi,Mùi,Thìn,7h-9h,khong,tinh-toan,
Đinh Mùi-Tỵ,Đinh Mùi,Mùi,Tỵ,9h-11h,co,tinh-toan,
Đinh Mùi-Ngọ,Đinh Mùi,Mùi,Ngọ,11h-13h,khong,tinh-toan,
Đinh Mùi-Mùi,Đinh Mùi,Mùi,Mùi,13h-15h,khong,tinh-toan,
Đinh Mùi-Thân,Đinh Mùi,Mùi,Thân,15h-17h,co,tinh-toan,
Đinh Mùi-Dậu,Đinh Mùi,Mùi,Dậu,17h-19h,khong,tinh-toan,
Đinh Mùi-Tuất,Đinh Mùi,Mùi,Tuất,19h-21h,co,tinh-toan,
Đinh Mùi-Hợi,Đinh Mùi,Mùi,Hợi,21h-23h,co,tinh-toan,
Mậu Thân-Tý,Mậu Thân,Thân,Tý,23h-1h,co,tinh-toan,
Mậu Thân-Sửu,Mậu Thân,Thân,Sửu,1h-3h,co,tinh-toan,
Mậu Thân-Dần,Mậu Thân,Thân,Dần,3h-5h,khong,tinh-toan,
Mậu Thân-Mão,Mậu Thân,Thân,Mão,5h-7h,khong,tinh-toan,
Mậu Thân-Thìn,Mậu Thân,Thân,Thìn,7h-9h,co,tinh-toan,
Mậu Thân-Tỵ,Mậu Thân,Thân,Tỵ,9h-11h,co,tinh-toan,
Mậu Thân-Ngọ,Mậu Thân,Thân,Ngọ,11h-13h,khong,tinh-toan,
Mậu Thân-Mùi,Mậu Thân,Thân,Mùi,13h-15h,co,tinh-toan,
Mậu Thân-Thân,Mậu Thân,Thân,Thân,15h-17h,khong,tinh-toan,
Mậu Thân-Dậu,Mậu Thân,Thân,Dậu,17h-19h,khong,tinh-toan,
Mậu Thân-Tuất,Mậu Thân,Thân,Tuất,19h-21h,co,tinh-toan,
Mậu Thân-Hợi,Mậu Thân,Thân,Hợi,21h-23h,khong,tinh-toan,
Kỷ Dậu-Tý,Kỷ Dậu,Dậu,Tý,23h-1h,co,tinh-toan,
Kỷ Dậu-Sửu,Kỷ Dậu,Dậu,Sửu,1h-3h,khong,tinh-toan,
Kỷ Dậu-Dần,Kỷ Dậu,Dậu,Dần,3h-5h,co,tinh-toan,
Kỷ Dậu-Mão,Kỷ Dậu,Dậu,Mão,5h-7h,co,tinh-toan,
Kỷ Dậu-Thìn,Kỷ Dậu,Dậu,Thìn,7h-9h,khong,tinh-toan,
Kỷ Dậu-Tỵ,Kỷ Dậu,Dậu,Tỵ,9h-11h,khong,tinh-toan,
Kỷ Dậu-Ngọ,Kỷ Dậu,Dậu,Ngọ,11h-13h,co,tinh-toan,
Kỷ Dậu-Mùi,Kỷ Dậu,Dậu,Mùi,13h-15h,co,tinh-toan,
Kỷ Dậu-Thân,Kỷ Dậu,Dậu,Thân,15h-17h,khong,tinh-toan,
Kỷ Dậu-Dậu,Kỷ Dậu,Dậu,Dậu,17h-19h,co,tinh-toan,
Kỷ Dậu-Tuất,Kỷ Dậu,Dậu,Tuất,19h-21h,khong,tinh-toan,
Kỷ Dậu-Hợi,Kỷ Dậu,Dậu,Hợi,21h-23h,khong,tinh-toan,
Canh Tuất-Tý,Canh Tuất,Tuất,Tý,23h-1h,khong,tinh-toan,
Canh Tuất-Sửu,Canh Tuất,Tuất,Sửu,1h-3h,khong,tinh-toan,
Canh Tuất-Dần,Canh Tuất,Tuất,Dần,3h-5h,co,tinh-toan,
Canh Tuất-Mão,Canh Tuất,Tuất,Mão,5h-7h,khong,tinh-toan,
Canh Tuất-Thìn,Canh Tuất,Tuất,Thìn,7h-9h,co,tinh-toan,
Canh Tuất-Tỵ,Canh Tuất,Tuất,Tỵ,9h-11h,co,tinh-toan,
Canh Tuất-Ngọ,Canh Tuất,Tuất,Ngọ,11h-13h,khong,tinh-toan,
Canh Tuất-Mùi,Canh Tuất,Tuất,Mùi,13h-15h,khong,tinh-toan,
Canh Tuất-Thân,Canh Tuất,Tuất,Thân,15h-17h,co,tinh-toan,
Canh Tuất-Dậu,Canh Tuất,Tuất,Dậu,17h-19h,co,tinh-toan,
Canh Tuất-Tuất,Canh Tuất,Tuất,Tuất,19h-21h,khong,tinh-toan,
Canh Tuất-Hợi,Canh Tuất,Tuất,Hợi,21h-23h,co,tinh-toan,
Tân Hợi-Tý,Tân Hợi,Hợi,Tý,23h-1h,khong,tinh-toan,
Tân Hợi-Sửu,Tân Hợi,Hợi,Sửu,1h-3h,co,tinh-toan,
Tân Hợi-Dần,Tân Hợi,Hợi,Dần,3h-5h,khong,tinh-toan,
Tân Hợi-Mão,Tân Hợi,Hợi,Mão,5h-7h,khong,tinh-toan,
Tân Hợi-Thìn,Tân Hợi,Hợi,Thìn,7h-9h,co,tinh-toan,
Tân Hợi-Tỵ,Tân Hợi,Hợi,Tỵ,9h-11h,khong,tinh-toan,
Tân Hợi-Ngọ,Tân Hợi,Hợi,Ngọ,11h-13h,co,tinh-toan,
Tân Hợi-Mùi,Tân Hợi,Hợi,Mùi,13h-15h,co,tinh-toan,
Tân Hợi-Thân,Tân Hợi,Hợi,Thân,15h-17h,khong,tinh-toan,
Tân Hợi-Dậu,Tân Hợi,Hợi,Dậu,17h-19h,khong,tinh-toan,
Tân Hợi-Tuất,Tân Hợi,Hợi,Tuất,19h-21h,co,tinh-toan,
Tân Hợi-Hợi,Tân Hợi,Hợi,Hợi,21h-23h,co,tinh-toan,
Nhâm Tý-Tý,Nhâm Tý,Tý,Tý,23h-1h,co,tinh-toan,
Nhâm Tý-Sửu,Nhâm Tý,Tý,Sửu,1h-3h,co,tinh-toan,
Nhâm Tý-Dần,Nhâm Tý,Tý,Dần,3h-5h,khong,tinh-toan,
Nhâm Tý-Mão,Nhâm Tý,Tý,Mão,5h-7h,co,tinh-toan,
Nhâm Tý-Thìn,Nhâm Tý,Tý,Thìn,7h-9h,khong,tinh-toan,
Nhâm Tý-Tỵ,Nhâm Tý,Tý,Tỵ,9h-11h,khong,tinh-toan,
Nhâm Tý-Ngọ,Nhâm Tý,Tý,Ngọ,11h-13h,co,tinh-toan,
Nhâm Tý-Mùi,Nhâm Tý,Tý,Mùi,13h-15h,khong,tinh-toan,
Nhâm Tý-Thân,Nhâm Tý,Tý,Thân,15h-17h,co,tinh-toan,
Nhâm Tý-Dậu,Nhâm Tý,Tý,Dậu,17h-19h,co,tinh-toan,
Nhâm Tý-Tuất,Nhâm Tý,Tý,Tuất,19h-21h,khong,tinh-toan,
Nhâm Tý-Hợi,Nhâm Tý,Tý,Hợi,21h-23h,khong,tinh-toan,
Quý Sửu-Tý,Quý Sửu,Sửu,Tý,23h-1h,khong,tinh-toan,
Quý Sửu-Sửu,Quý Sửu,Sửu,Sửu,1h-3h,khong,tinh-toan,
Quý Sửu-Dần,Quý Sửu,Sửu,Dần,3h-5h,co,tinh-toan,
Quý Sửu-Mão,Quý Sửu,Sửu,Mão,5h-7h,co,tinh-toan,
Quý Sửu-Thìn,Quý Sửu,Sửu,Thìn,7h-9h,khong,tinh-toan,
Quý Sửu-Tỵ,Quý Sửu,Sửu,Tỵ,9h-11h,co,tinh-toan,
Quý Sửu-Ngọ,Quý Sửu,Sửu,Ngọ,11h-13h,khong,tinh-toan,
Quý Sửu-Mùi,Quý Sửu,Sửu,Mùi,13h-15h,khong,tinh-toan,
Quý Sửu-Thân,Quý Sửu,Sửu,Thân,15h-17h,co,tinh-toan,
Quý Sửu-Dậu,Quý Sửu,Sửu,Dậu,17h-19h,khong,tinh-toan,
Quý Sửu-Tuất,Quý Sửu,Sửu,Tuất,19h-21h,co,tinh-toan,
Quý Sửu-Hợi,Quý Sửu,Sửu,Hợi,21h-23h,co,tinh-toan,
Giáp Dần-Tý,Giáp Dần,Dần,Tý,23h-1h,co,tinh-toan,
Giáp Dần-Sửu,Giáp Dần,Dần,Sửu,1h-3h,co,tinh-toan,
Giáp Dần-Dần,Giáp Dần,Dần,Dần,3h-5h,khong,tinh-toan,
Giáp Dần-Mão,Giáp Dần,Dần,Mão,5h-7h,khong,tinh-toan,
Giáp Dần-Thìn,Giáp Dần,Dần,Thìn,7h-9h,co,tinh-toan,
Giáp Dần-Tỵ,Giáp Dần,Dần,Tỵ,9h-11h,co,tinh-toan,
Giáp Dần-Ngọ,Giáp Dần,Dần,Ngọ,11h-13h,khong,tinh-toan,
Giáp Dần-Mùi,Giáp Dần,Dần,Mùi,13h-15h,co,tinh-toan,
Giáp Dần-Thân,Giáp Dần,Dần,Thân,15h-17h,khong,tinh-toan,
Giáp Dần-Dậu,Giáp Dần,Dần,Dậu,17h-19h,khong,tinh-toan,
Giáp Dần-Tuất,Giáp Dần,Dần,Tuất,19h-21h,co,tinh-toan,
Giáp Dần-Hợi,Giáp Dần,Dần,Hợi,21h-23h,khong,tinh-toan,
Ất Mão-Tý,Ất Mão,Mão,Tý,23h-1h,co,tinh-toan,
Ất Mão-Sửu,Ất Mão,Mão,Sửu,1h-3h,khong,tinh-toan,
Ất Mão-Dần,Ất Mão,Mão,Dần,3h-5h,co,tinh-toan,
Ất Mão-Mão,Ất Mão,Mão,Mão,5h-7h,co,tinh-toan,
Ất Mão-Thìn,Ất Mão,Mão,Thìn,7h-9h,khong,tinh-toan,
Ất Mão-Tỵ,Ất Mão,Mão,Tỵ,9h-11h,khong,tinh-toan,
Ất Mão-Ngọ,Ất Mão,Mão,Ngọ,11h-13h,co,tinh-toan,
Ất Mão-Mùi,Ất Mão,Mão,Mùi,13h-15h,co,tinh-toan,
Ất Mão-Thân,Ất Mão,Mão,Thân,15h-17h,khong,tinh-toan,
Ất Mão-Dậu,Ất Mão,Mão,Dậu,17h-19h,co,tinh-toan,
Ất Mão-Tuất,Ất Mão,Mão,Tuất,19h-21h,khong,tinh-toan,
Ất Mão-Hợi,Ất Mão,Mão,Hợi,21h-23h,khong,tinh-toan,
Bính Thìn-Tý,Bính Thìn,Thìn,Tý,23h-1h,khong,tinh-toan,
Bính Thìn-Sửu,Bính Thìn,Thìn,Sửu,1h-3h,khong,tinh-toan,
Bính Thìn-Dần,Bính Thìn,Thìn,Dần,3h-5h,co,tinh-toan,
Bính Thìn-Mão,Bính Thìn,Thìn,Mão,5h-7h,khong,tinh-toan,
Bính Thìn-Thìn,Bính Thìn,Thìn,Thìn,7h-9h,co,tinh-toan,
Bính Thìn-Tỵ,Bính Thìn,Thìn,Tỵ,9h-11h,co,tinh-toan,
Bính Thìn-Ngọ,Bính Thìn,Thìn,Ngọ,11h-13h,khong,tinh-toan,
Bính Thìn-Mùi,Bính Thìn,Thìn,Mùi,13h-15h,khong,tinh-toan,
Bính Thìn-Thân,Bính Thìn,Thìn,Thân,15h-17h,co,tinh-toan,
Bính Thìn-Dậu,Bính Thìn,Thìn,Dậu,17h-19h,co,tinh-toan,
Bính Thìn-Tuất,Bính Thìn,Thìn,Tuất,19h-21h,khong,tinh-toan,
Bính Thìn-Hợi,Bính Thìn,Thìn,Hợi,21h-23h,co,tinh-toan,
Đinh Tỵ-Tý,Đinh Tỵ,Tỵ,Tý,23h-1h,khong,tinh-toan,
Đinh Tỵ-Sửu,Đinh Tỵ,Tỵ,Sửu,1h-3h,co,tinh-toan,
Đinh Tỵ-Dần,Đinh Tỵ,Tỵ,Dần,3h-5h,khong,tinh-toan,
Đinh Tỵ-Mão,Đinh Tỵ,Tỵ,Mão,5h-7h,khong,tinh-toan,
Đinh Tỵ-Thìn,Đinh Tỵ,Tỵ,Thìn,7h-9h,co,tinh-toan,
Đinh Tỵ-Tỵ,Đinh Tỵ,Tỵ,Tỵ,9h-11h,khong,tinh-toan,
Đinh Tỵ-Ngọ,Đinh Tỵ,Tỵ,Ngọ,11h-13h,co,tinh-toan,
Đinh Tỵ-Mùi,Đinh Tỵ,Tỵ,Mùi,13h-15h,co,tinh-toan,
Đinh Tỵ-Thân,Đinh Tỵ,Tỵ,Thân,15h-17h,khong,tinh-toan,
Đinh Tỵ-Dậu,Đinh Tỵ,Tỵ,Dậu,17h-19h,khong,tinh-toan,
Đinh Tỵ-Tuất,Đinh Tỵ,Tỵ,Tuất,19h-21h,co,tinh-toan,
Đinh Tỵ-Hợi,Đinh Tỵ,Tỵ,Hợi,21h-23h,co,tinh-toan,
